"Sticker ID","Type","Name/Description","Country/Category","Club","Position",DOB
"FWC00","Intro","Panini Logo","Panini","","",""
"FWC1","Intro","Official Tournament Emblem (top)","FIFA World Cup 2026","","",""
"FWC2","Intro","Official Tournament Emblem (bottom)","FIFA World Cup 2026","","",""
"FWC3","Intro","Official Mascots","FIFA World Cup 2026","","",""
"FWC4","Intro","Official Slogan","FIFA World Cup 2026","","",""
"FWC5","Intro","Official Match Ball of FIFA World Cup","FIFA World Cup 2026","","",""
"FWC6","Intro","Host Countries & Cities: Canada","FIFA World Cup 2026","","",""
"FWC7","Intro","Host Countries & Cities: Mexico","FIFA World Cup 2026","","",""
"FWC8","Intro","Host Countries & Cities: USA","FIFA World Cup 2026","","",""
"FWC9","History","Past Champions: Italy 1934 - World Cup History","FIFA Museum","","",""
"FWC10","History","Past Champions: Uruguay 1950 - World Cup History","FIFA Museum","","",""
"FWC11","History","Past Champions: West Germany 1954 - World Cup History","FIFA Museum","","",""
"FWC12","History","Past Champions: Brazil 1962 - World Cup History","FIFA Museum","","",""
"FWC13","History","Past Champions: West Germany 1974 - World Cup History","FIFA Museum","","",""
"FWC14","History","Past Champions: Argentina 1986 - World Cup History","FIFA Museum","","",""
"FWC15","History","Past Champions: Brazil 1994 - World Cup History","FIFA Museum","","",""
"FWC16","History","Past Champions: Brazil 2002 - World Cup History","FIFA Museum","","",""
"FWC17","History","Past Champions: Italy 2006 - World Cup History","FIFA Museum","","",""
"FWC18","History","Past Champions: Germany 2014 - World Cup History","FIFA Museum","","",""
"FWC19","History","Past Champions: Argentina 2022 - World Cup History","FIFA Museum","","",""
"MEX1","Badge","Mexico Team Crest","Mexico","","",""
"MEX2","Player","Luis Malagón","Mexico","Club América","Goalkeeper","1997-03-02"
"MEX3","Player","Johan Vásquez","Mexico","Genoa CFC","Defender","1998-10-22"
"MEX4","Player","Jorge Sánchez","Mexico","PAOK","Defender","1997-12-10"
"MEX5","Player","César Montes","Mexico","Lokomotiv Moscow","Defender","1997-02-24"
"MEX6","Player","Jesús Gallardo","Mexico","Toluca FC","Defender","1994-08-15"
"MEX7","Player","Israel Reyes","Mexico","Club América","Defender","2000-05-23"
"MEX8","Player","Diego Lainez","Mexico","Tigres UANL","Midfielder","2000-06-09"
"MEX9","Player","Carlos Rodríguez","Mexico","Cruz Azul","Midfielder","1997-01-03"
"MEX10","Player","Edson Álvarez","Mexico","Fenerbahçe","Midfielder","1997-10-24"
"MEX11","Player","Orbelín Pineda","Mexico","AEK Athens","Midfielder","1996-03-24"
"MEX12","Player","Marcel Ruiz","Mexico","Toluca FC","Midfielder","2000-10-26"
"MEX13","Photo","Mexico Team Photo","Mexico","","",""
"MEX14","Player","Érick Sánchez","Mexico","Club América","Midfielder","1999-09-27"
"MEX15","Player","Hirving Lozano","Mexico","San Diego FC","Forward","1995-07-30"
"MEX16","Player","Santiago Giménez","Mexico","AC Milan","Forward","2001-04-18"
"MEX17","Player","Raúl Jiménez","Mexico","Wolverhampton Wanderers","Forward","1991-05-05"
"MEX18","Player","Alexis Vega","Mexico","Toluca FC","Midfielder","1997-11-25"
"MEX19","Player","Roberto Alvarado","Mexico","Toluca FC","Midfielder","1998-09-07"
"MEX20","Player","César Huerta","Mexico","Anderlecht","Forward","2000-12-03"
"RSA1","Badge","South Africa Team Crest","South Africa","","",""
"RSA2","Player","Ronwen Williams","South Africa","Mamelodi Sundowns","Goalkeeper","1992-04-21"
